Marca temporal,Nombre,Genero_musical_que_mas_gusta,Artista_o_Banda_que_mas_gusta,Nicki_Nicole_del_1_al_10
2021/06/18 2:49:20 p.m. GMT-3,Simi,Pop,Taylor Swift,B(7-8)
2021/06/18 2:50:54 p.m. GMT-3,Tomas,Reggaeton,Myke Towers,A(9-10)
2021/06/18 2:51:40 p.m. GMT-3,Cami ,Pop,Harry Styles ,A(9-10)
2021/06/18 2:53:45 p.m. GMT-3,Lautaro,Urbano(Trap/Rap/Hip Hop),Snoop Dogg,C(5-6)
2021/06/18 2:54:17 p.m. GMT-3,Sofia ,Pop,5sos ,C(5-6)
2021/06/18 2:55:07 p.m. GMT-3,Valen,Reggaeton,Bad Bunny,B(7-8)
2021/06/18 2:55:09 p.m. GMT-3,Tomas,"Rock(Nacional,Heavy)",Los ratones paranoicos,A(9-10)
2021/06/18 2:57:21 p.m. GMT-3,Martin,"Rock(Nacional,Heavy)",Callejeros,B(7-8)
2021/06/18 2:57:30 p.m. GMT-3,Damian,"Rock(Nacional,Heavy)",Red Hot Chilli Peppers,C(5-6)
2021/06/18 2:58:13 p.m. GMT-3,Tobias,Urbano(Trap/Rap/Hip Hop),Aminé,F(1-2)
2021/06/18 3:00:06 p.m. GMT-3,Thiago ,Folclore,Mercedes sosa,B(7-8)
2021/06/18 3:01:02 p.m. GMT-3,Tobias,Folclore,Mercedes sosa,A(9-10)
2021/06/18 3:02:10 p.m. GMT-3,Aixa,Reggaeton,J quiles,A(9-10)
2021/06/18 3:03:20 p.m. GMT-3,Bauti,Urbano(Trap/Rap/Hip Hop),Duki,A(9-10)
2021/06/18 3:06:26 p.m. GMT-3,Cande ,Pop,Harry Styles ,B(7-8)
2021/06/18 3:07:05 p.m. GMT-3,Azul ,"Rock(Nacional,Heavy)",Callejeros,B(7-8)
2021/06/18 3:08:00 p.m. GMT-3,Mia,Pop,Harry Styles ,B(7-8)
2021/06/18 3:09:46 p.m. GMT-3,Kiara,Reggaeton,Lenny Tavarez,A(9-10)
2021/06/18 3:13:57 p.m. GMT-3,Sofia,Reggaeton,Sech,B(7-8)
2021/06/18 3:14:14 p.m. GMT-3,Reni,"Rock(Nacional,Heavy)",Los decadentes,C(5-6)
2021/06/18 3:18:54 p.m. GMT-3,Franco,"Rock(Nacional,Heavy)",SOAD,C(5-6)
2021/06/18 3:21:41 p.m. GMT-3,Agustin,Reggaeton,Myke Towers,F(1-2)
2021/06/18 3:22:58 p.m. GMT-3,Martu,"Rock(Nacional,Heavy)",Callejeros,C(5-6)
2021/06/18 3:23:33 p.m. GMT-3,Juan,"Rock(Nacional,Heavy)",The strokes,D(3-4)
2021/06/18 3:29:00 p.m. GMT-3,Delfi,Pop,Dua Lipa,A(9-10)
2021/06/18 3:29:04 p.m. GMT-3,Antonela ,"Rock(Nacional,Heavy)",Airbag,B(7-8)
2021/06/18 3:41:23 p.m. GMT-3,Milena,"Rock(Nacional,Heavy)",Bersuit,B(7-8)
2021/06/18 3:51:00 p.m. GMT-3,Delfina ,Pop,Ariana Grande ,B(7-8)
2021/06/18 4:01:17 p.m. GMT-3,Sofía ,Urbano(Trap/Rap/Hip Hop),$uicideboy$,B(7-8)
2021/06/18 4:01:36 p.m. GMT-3,Milagros,Pop,Dua lipa ,C(5-6)
2021/06/18 4:02:19 p.m. GMT-3,Yenia,Pop,Sabrina Carpenter,B(7-8)
2021/06/18 4:02:46 p.m. GMT-3,Juana ,Pop,Taylor Swift,C(5-6)
2021/06/18 4:03:36 p.m. GMT-3,Fercho,Urbano(Trap/Rap/Hip Hop),Duki,B(7-8)
2021/06/18 4:09:49 p.m. GMT-3,More,Pop,One Direction ,B(7-8)
2021/06/18 4:10:31 p.m. GMT-3,Facundo,Urbano(Trap/Rap/Hip Hop),Duki,A(9-10)
2021/06/18 4:12:32 p.m. GMT-3,Lola,Reggaeton,Maluma,C(5-6)
2021/06/18 4:16:05 p.m. GMT-3,Magali,"Rock(Nacional,Heavy)",Ciro y los persas ,A(9-10)
2021/06/18 4:19:40 p.m. GMT-3,Ana,Urbano(Trap/Rap/Hip Hop),Bad Bunny,B(7-8)
2021/06/18 4:35:58 p.m. GMT-3,Cata,Pop,Morat,A(9-10)
2021/06/18 5:15:09 p.m. GMT-3,Giuliana ,Reggaeton,No tengo favorito ,C(5-6)
2021/06/18 5:28:11 p.m. GMT-3,Lula,Pop,Morat,B(7-8)
2021/06/18 5:45:33 p.m. GMT-3,Flor,Urbano(Trap/Rap/Hip Hop),Duki,A(9-10)
2021/06/18 5:46:44 p.m. GMT-3,Camila,"Rock(Nacional,Heavy)",Callejeros,C(5-6)
2021/06/18 6:07:22 p.m. GMT-3,Juani,"Rock(Nacional,Heavy)",Charly García,B(7-8)
2021/06/18 6:12:45 p.m. GMT-3,Max,Urbano(Trap/Rap/Hip Hop),Bizarrap,A(9-10)
2021/06/18 6:31:09 p.m. GMT-3,Martin,Urbano(Trap/Rap/Hip Hop),Lil Peep,A(9-10)
2021/06/18 6:48:18 p.m. GMT-3,Trinidad,Pop,Tini Stoessel,B(7-8)
2021/06/18 9:24:50 p.m. GMT-3,Lourdes,"Rock(Nacional,Heavy)",Artic Monkeys,A(9-10)
2021/06/19 1:53:15 p.m. GMT-3,Matias,"Rock(Nacional,Heavy)",Las pastillas del abuelo,D(3-4)
