periodo,cod_provincia,provincia,cod_depto,departamento,titulares_activos,presentismo
2013-05-31,66,Salta,66028,Capital,1,1
2013-05-31,06,Buenos Aires,06245,Ensenada,4,4
2013-05-31,54,Misiones,54028,Capital,1,1
2013-05-31,02,Ciudad de Buenos Aires,02000,"Comuna 1,Comuna 10,Comuna 11,Comuna 12,Comuna 13,Comuna 14,Comuna 15,Comuna 2,Comuna 3,Comuna 4,Comuna 5,Comuna 6,Comuna 7,Comuna 8,Comuna 9",1,1
2013-05-31,06,Buenos Aires,06427,La Matanza,2,2
2013-05-31,06,Buenos Aires,06364,General Rodríguez,1,1
2013-05-31,06,Buenos Aires,06539,Merlo,1,1
2013-05-31,06,Buenos Aires,06441,La Plata,1226,1230
2013-05-31,06,Buenos Aires,06098,Berisso,9,9
2013-06-30,02,Ciudad de Buenos Aires,02000,"Comuna 1,Comuna 10,Comuna 11,Comuna 12,Comuna 13,Comuna 14,Comuna 15,Comuna 2,Comuna 3,Comuna 4,Comuna 5,Comuna 6,Comuna 7,Comuna 8,Comuna 9",379,379
2013-06-30,06,Buenos Aires,06245,Ensenada,294,294
2013-06-30,06,Buenos Aires,06134,Cañuelas,344,344
2013-06-30,06,Buenos Aires,06035,Avellaneda,1171,1171
2013-06-30,06,Buenos Aires,06098,Berisso,503,503
2013-06-30,06,Buenos Aires,06408,Hurlingham,669,669
2013-06-30,06,Buenos Aires,06028,Almirante Brown,1772,1772
2013-06-30,06,Buenos Aires,06126,Campana,190,190
2013-06-30,06,Buenos Aires,06539,Merlo,1273,1273
2013-06-30,06,Buenos Aires,06252,Escobar,819,819
2013-06-30,06,Buenos Aires,06274,Florencio Varela,2838,2838
2013-06-30,06,Buenos Aires,06260,Esteban Echeverría,1135,1135
2013-06-30,06,Buenos Aires,06515,Malvinas Argentinas,1130,1130
2013-06-30,06,Buenos Aires,06434,Lanús,1505,1505
2013-06-30,06,Buenos Aires,06091,Berazategui,1734,1734
2013-06-30,06,Buenos Aires,06329,General Las Heras,70,70
2013-06-30,18,Corrientes,18021,Capital,13,13
2013-06-30,06,Buenos Aires,06364,General Rodríguez,649,649
2013-06-30,06,Buenos Aires,06371,General San Martín,1216,1217
2013-06-30,06,Buenos Aires,06270,Ezeiza,753,753
2013-06-30,06,Buenos Aires,06568,Morón,745,745
2013-06-30,06,Buenos Aires,06497,Luján,300,300
2013-06-30,06,Buenos Aires,06427,La Matanza,5530,5530
2013-06-30,06,Buenos Aires,06532,Mercedes,155,155
2013-06-30,30,Entre Ríos,30084,Paraná,2,2
2013-06-30,06,Buenos Aires,06441,La Plata,1501,1506
2013-06-30,06,Buenos Aires,06490,Lomas de Zamora,2525,2525
2013-06-30,06,Buenos Aires,06410,Ituzaingó,533,533
2013-06-30,06,Buenos Aires,06648,Presidente Perón,894,894
2013-06-30,06,Buenos Aires,06778,San Vicente,699,699
2013-06-30,06,Buenos Aires,06525,Marcos Paz,438,438
2013-06-30,06,Buenos Aires,06749,San Fernando,449,449
2013-06-30,90,Tucumán,90063,Lules,1,1
2013-06-30,06,Buenos Aires,06882,Zárate,308,308
2013-06-30,06,Buenos Aires,06840,Tres de Febrero,709,709
2013-06-30,06,Buenos Aires,06412,José C. Paz,2059,2059
2013-06-30,06,Buenos Aires,06658,Quilmes,2258,2258
2013-06-30,06,Buenos Aires,06805,Tigre,1009,1009
2013-06-30,06,Buenos Aires,06560,Moreno,2798,2798
2013-06-30,06,Buenos Aires,06760,San Miguel,1390,1390
2013-06-30,90,Tucumán,90105,Tafí Viejo,1,1
2013-06-30,90,Tucumán,90014,Cruz Alta,2,2
2013-06-30,06,Buenos Aires,06638,Pilar,746,746
2013-06-30,50,Mendoza,50098,San Martín,2,2
2013-06-30,30,Entre Ríos,30098,Uruguay,1,1
2013-06-30,22,Chaco,22140,San Fernando,11,11
2013-06-30,70,San Juan,70028,Capital,2,2
2013-06-30,66,Salta,66028,Capital,6,6
2013-06-30,34,Formosa,34014,Formosa,5,5
2013-06-30,54,Misiones,54028,Capital,6,6
2013-06-30,86,Santiago del Estero,86049,Capital,13,13
2013-06-30,90,Tucumán,90084,Capital,3,3
2013-06-30,54,Misiones,54042,Eldorado,2,2
2013-06-30,70,San Juan,70077,Rawson,1,1
2013-07-31,06,Buenos Aires,06252,Escobar,850,850
2013-07-31,06,Buenos Aires,06134,Cañuelas,348,348
2013-07-31,06,Buenos Aires,06028,Almirante Brown,1809,1809
2013-07-31,02,Ciudad de Buenos Aires,02000,"Comuna 1,Comuna 10,Comuna 11,Comuna 12,Comuna 13,Comuna 14,Comuna 15,Comuna 2,Comuna 3,Comuna 4,Comuna 5,Comuna 6,Comuna 7,Comuna 8,Comuna 9",386,386
2013-07-31,06,Buenos Aires,06035,Avellaneda,1181,1181
2013-07-31,06,Buenos Aires,06274,Florencio Varela,2920,2920
2013-07-31,06,Buenos Aires,06245,Ensenada,298,298
2013-07-31,06,Buenos Aires,06126,Campana,195,195
2013-07-31,06,Buenos Aires,06364,General Rodríguez,654,654
2013-07-31,06,Buenos Aires,06490,Lomas de Zamora,2588,2588
2013-07-31,06,Buenos Aires,06260,Esteban Echeverría,1139,1139
2013-07-31,06,Buenos Aires,06091,Berazategui,1806,1806
2013-07-31,06,Buenos Aires,06098,Berisso,510,510
2013-07-31,06,Buenos Aires,06371,General San Martín,1494,1494
2013-07-31,06,Buenos Aires,06532,Mercedes,157,157
2013-07-31,06,Buenos Aires,06497,Luján,301,301
2013-07-31,06,Buenos Aires,06441,La Plata,1304,1309
2013-07-31,06,Buenos Aires,06648,Presidente Perón,895,895
2013-07-31,06,Buenos Aires,06270,Ezeiza,757,757
2013-07-31,06,Buenos Aires,06525,Marcos Paz,441,441
2013-07-31,06,Buenos Aires,06410,Ituzaingó,537,537
2013-07-31,06,Buenos Aires,06427,La Matanza,5617,5617
